Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Company Type,Full Description,Funding Status,Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Number of Investors,Number of Lead Investors,Top 5 Investors,IPO Status,Stock Symbol,Stock Symbol URL,CB Rank (Organization),CB Rank (Company),CB Rank (School),Price,Price Currency,Price Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Industry Groups,Number of Employees
Bithumb,https://www.crunchbase.com/organization/bithumb,"Cryptocurrency, Finance, Financial Services","Seoul, Seoul-t'ukpyolsi, South Korea",Bithumb is a South Korea-based cryptocurrency exchange platform.,$100M to $500M,2014.1.1,year,For Profit,"Bithumb is a cryptocurrency exchange platform. The South Korean-based platform is also known as a leading exchange for ether, the currency of Ethereum (which in itself is immensely popular in the country). Bithumb is operated by a company called BTC Korea.com Co. Ltd.",Early Stage Venture,1,200000000,USD,200000000,2019.4.15,Series A,200000000,USD,200000000,1,1,ST Blockchain Fund,Private,,,"2,708","2,579",,,,,200000000,USD,200000000,200000000,USD,200000000,"Financial Services, Payments, Software",101-250
YG Entertainment,https://www.crunchbase.com/organization/yg-entertainment,"Media and Entertainment, Music, Music Label","Seoul, Seoul-t'ukpyolsi, South Korea","YG Entertainment, the entertainment company",$50M to $100M,1996.1.1,year,For Profit,"YG Entertainment, the entertainment company established by Yang Hyun Suk, of the popular Korean act Seo Tae Ji and Boys, has been at the forefront of the popularization of hip-hop music in Korea. From its inception, YG Entertainment has been the birthplace of some of Korea_ most popular and well-respected artists, from YG_ earlier artists such as JINUSEAN and 1TYM, to the immensely successful current acts, BIGBANG and 2NE1. The company has flourished by creating a family-like atmosphere where ideas on music, fashion, art and culture are exchanged freely between the artists, producers and staff members alike. The YG Family also includes a respected roster of actors and actresses, including actress and director, Ku Hye Sun, best known for the popular TV-drama _oys Over Flowers and Jeong Hye Young",IPO,3,1E+11,KRW,88559839,2017.3.17,Post-IPO Equity,1E+11,KRW,88559839,4,,"Tencent Holdings, Naver Corporation, Beijing Weiying Technology, Louis Vuitton",Public,122870,https://www.crunchbase.com/ipo/yg-entertainment-ipo--41b223dd,"3,004","2,859",,,,,253559839,USD,253559839,253559839,USD,253559839,"Media and Entertainment, Music and Audio",251-500
KB Financial Group,https://www.crunchbase.com/organization/kb-financial-group,"Banking, Financial Services","Seoul, Seoul-t'ukpyolsi, South Korea",KB Financial Group is a Korea-based holding company engaged in the management of its subsidiaries.,$10B+,2001.1.1,year,For Profit,"KB Financial Group is Korea_ leading financial institution with the largest customer base and the most extensive branch network in the country. With total assets exceeding US$342 billion, the Group wields a solid capital prowess and enjoys a strong brand loyalty. As of December 2012, the Group has ten domestic subsidiaries--banking, credit cards, securities, life insurance, asset management, real estate trust, venture capital, credit information, data system, and savings bank--and four overseas subsidiaries in Hong Kong, England, Cambodia, and China. KB Financial Group was established in September 2008 with extensive stock transfers from major subsidiary companies. The Group_ establishment was to better deal with such fundamental changes in the financial markets at home and abroad as the rapid globalization of financial service, a declining profitability of traditional banking operations, new industry regulations, and an increasing demand for comprehensive financial services.",IPO,1,500000000,USD,500000000,2019.6.26,Post-IPO Debt,,,,,,,Public,KB,https://www.crunchbase.com/ipo/kb-financial-group-ipo--d4c1543c,"3,261","3,113",,,,,,,,500000000,USD,500000000,"Financial Services, Lending and Investments",10001+
Terra,https://www.crunchbase.com/organization/terra-d41a,"Blockchain, Cryptocurrency, Financial Services","Seoul, Seoul-t'ukpyolsi, South Korea",Terra is a price-stable cryptocurrency designed for mass adoption.,Less than $1M,2018.1.1,year,For Profit,"Terra is a price-stable cryptocurrency designed for mass adoption. It builds financial infrastructure for the next generation of decentralized applications. Terra is backed by Luna, a decentralized asset that derives its value from transaction fees collected on the Terra network. Much like the moon stabilizes the earth_ rotation, Luna is Terra's eternal guardian of stability.",,11,,,,2019.8.23,Corporate Round,,,,18,5,"Polychain, TransLink Capital, ICONIUM, Arrington XRP Capital, HOF Capital",Private,,,"3,466","3,314",,,,,32000000,USD,32000000,32000000,USD,32000000,"Financial Services, Other, Payments, Software",11-50
Riiid,https://www.crunchbase.com/organization/riiid,"Artificial Intelligence, EdTech, Machine Learning, Personalization, Tutoring","Seoul, Seoul-t'ukpyolsi, South Korea",A global leading AI Tutor solution provider delivering creative disruption to the education market through its cutting-edge AI technology.,$1M to $10M,2014.5.8,day,For Profit,"Established in 2014, Riiid is a global leading AI Tutor solution provider delivering creative disruption to the education market through its cutting-edge AI technology. Having launched Santa TOEIC in 2017, the firm_ first commercialized AI Tutor solution based on deep learning algorithm which has garnered 1 million users solely in Korea market with proven efficacy, Riiid leads the era of AI-based education in true sense. Leveraging the firm_ highly scalable and proven AI solution, Riiid is aggressively expanding its business to new test areas as well as into new geographical markets. It currently operates Santa TOEIC in Japan and has launched Santa SAT in Vietnam. Riiid aims at replacing hard copy textbooks and traditional lectures with AI Tutor. Through the firm's technology, any individual student gains access to a personalized AI tutor that far outpaces human tutors in terms of learning efficacy at a fraction of the cost.  Driving the democratization and equalization of educational opportunities, Riiid is transforming learning and the industry landscape in remarkable and rapid fashion.",Late Stage Venture,5,41800000,USD,41800000,2020.7.23,Series D,41800000,USD,41800000,13,2,"Korea Development Bank, IMM Investment, Shinhan Capital, IMM, DSC Investment",Private,,,"4,494","4,303",,,,,73097459,USD,73097459,73097459,USD,73097459,"Artificial Intelligence, Commerce and Shopping, Data and Analytics, Education, Science and Engineering, Software",51-100
Samsung Electronics,https://www.crunchbase.com/organization/samsung-electronics,"Electronics, Hardware, Manufacturing, Mobile, Mobile Devices, Software","Seoul, Seoul-t'ukpyolsi, South Korea",Samsung Electronics is a South Korean multinational electronics company,$10B+,1969.2.12,day,For Profit,"Samsung Electronics is a South Korean multinational electronics company engaged in consumer electronics, information technology and mobile communications, and device solutions businesses worldwide. The company develops, manufactures, and sells various consumer products, including mobile phones, tablets, televisions, Blu-ray players, DVD players, home theater systems, digital cameras, and camcorders; home appliances such as refrigerators, air conditioners, washing machines, ovens, and dishwashers; PCs, peripherals, and printers comprising tablet PCs, notebooks, monitors, optical disc drives, printers, and computers; memory and storage products such as solid state drives and memory cards; and accessories. The company also provides healthcare and medical equipment comprising ultrasound, digital X-ray, and in-vitro diagnostics; telecommunications infrastructures, including wireless and enterprise network systems; standalone mobile APs for smartphones, CMOS image sensors for mobile cameras, and display driver and smart card ICs; LCD display panels and OLED panels for mobiles; and LED lighting solutions that include LED packages, LED display modules, LED light engines, and LED retrofit lamps. In addition, it is engaged in cyber game match hosting; technology business venture capital investments; the manufacture of semiconductor components; semiconductor equipment businesses; the sponsoring of sports teams and games; and credit management activities. Samsung Electronics also provides repair services for electronic devices as well as general logistics agency, consultation, and communication system services. It has operations in Korea, China, Latin and North America, Europe, the Asia Pacific, and Africa. Samsung Electronics was founded in 1969 as a subsidiary of Samsung Group and is headquartered in Suwon, South Korea.",IPO,,,,,,,,,,,,,Public,5930,https://www.crunchbase.com/ipo/samsung-electronics-ipo--6e6ef02d,"4,795","4,594",,,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Mobile, Software",10001+
Hyperconnect,https://www.crunchbase.com/organization/hyperconnect,"Artificial Intelligence, Information Technology, Machine Learning, Mobile Apps, Software, Video","Seoul, Seoul-t'ukpyolsi, South Korea",Hyperconnect is a global social platform company that provides video and AI-powered products.,$50M to $100M,2014.3.1,month,For Profit,"Hyperconnect is a global technology company based in Seoul, South Korea, that provides video and AI-powered social discovery products. Hyperconnect_ vision is to power a ""Hyperconnected humanity free from loneliness"" and its mission is to ""connect people through shared interests and creating enjoyment"" Hyperconnect is an exciting and fast-growing Korean IT company with a global team of 350+ employees from 20+ nationalities across 7 global offices. Hyperconnect generates 90%+ of its revenue in markets outside of South Korea, recording total sales of 1,689 billion won (US$137 million) in 2019. With its flagship product, Azar, the company pioneered a new era of social discovery as the world_ first app to commercialize WebRTC technology for mobile. Azar revolutionizes the way people make new friends and experience new cultures through a machine learning-powered 1-to-1 video chat interface. Azar is now one of the largest video communication platforms in the world, having generated over 500 million downloads and 90 billion new connections. Azar was ranked fifth in the 'Google Play worldwide non-game app sales ranking in December 2019' and fourth after Tinder, Netflix, and YouTube in 'Europe's total non-game app sales ranking in 2019' (Sensor Tower). Hyperconnect_ video and artificial intelligence technology powered the development of Hyperconnect_ latest hit product, Hakuna Live, a social live streaming service with over 15 million downloads. Hyperconnect_ products are powered by the latest in machine learning-based image and video technology, which creates an exciting and engaging experience for users  while ensuring the highest standards of community safety. Hyperconnect_ in-house technology efforts are amongst the world_ best, having earned Hyperconnect numerous global accolades. In 2020 and 2019, Hyperconnect was accepted at _NTERSPEECH (an annual conference hosted by the International Voice Communication Association) for research in the field of speech recognition technology. Hyperconnect was also recognized at _CCV 2019 for its 'Marionette' facial reenactment technology and in 2018 at the ""Low Power Image Recognition Challenge (LPIRC)"" held at CVPR (Computer Vision Pattern Recognition) for its world class contribution to the field of image processing.",Early Stage Venture,2,8600000,USD,8600000,2015.11.17,Series A,8600000,USD,8600000,2,2,"SoftBank, Altos Ventures",Private,,,"5,073","4,865",,,,,10600000,USD,10600000,10600000,USD,10600000,"Apps, Artificial Intelligence, Data and Analytics, Information Technology, Media and Entertainment, Mobile, Science and Engineering, Software, Video",251-500
Kakao Corp,https://www.crunchbase.com/organization/kakao,"Apps, Information Services, Information Technology, Internet, Messaging, Mobile","Jeju, Cheju-do, South Korea","Kakao is a mobile lifestyle platform offering services ranging from messaging, news, advertising, gaming, e-commerce, and music.",$500M to $1B,2010.1.1,year,For Profit,"Kakao is a mobile lifestyle platform company with services spanning messaging, mail, search, news, advertising, gaming, e-commerce, music, maps and more.  Its content platform offers a diverse array of content that can be enjoyed by users of all interest range. Daum News offers tens of thousands of news articles from top news outlets every day, and Story Funding, the country_ first crowdfunding service, is building a healthy platform for new information in hand with users. Kakao Music, Kakao Page, Daum Webtoon and more, enrich user's daily lives enabling users to easily share and enjoy music, cartoons, novels and more.  Kakao Game is a mobile gaming platform that allows users to compete with friends on their social graph. Its popularity has resulted in explosive growths for the Korean mobile gaming industry while establishing mobile games as a mainstream phenomenon.  The company was founded in 2010 and is headquartered in Jeju, South Korea.",IPO,5,170000000,USD,170000000,2020.3.19,Post-IPO Equity,170000000,USD,170000000,8,3,"DCM Ventures, TPG, Maverick Ventures, Korea Investment Partners, Anchor Equity Partners",Public,35720,https://www.crunchbase.com/ipo/kakao-ipo--59b5f6e0,"5,514","5,292",,,,,1636604959,USD,1636604959,1636604959,USD,1636604959,"Apps, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software",1001-5000
SK Hynix,https://www.crunchbase.com/organization/sk-hynix,"Manufacturing, Semiconductor, Sensor","Seoul, Seoul-t'ukpyolsi, South Korea","SK Hynix is the global leader in producing semiconductor, such as DRAM and NAND flash and System IC including CMOS Image Sensors.",$1B to $10B,1983.2.1,day,For Profit,"SK Hynix is the global leader in producing semiconductor, such as DRAM and NAND flash and System IC including CMOS Image Sensors. Since pilot production of Korea_ first 16Kb SRAM in 1984, SK Hynix consistently led the industry with smaller, faster and lower power semiconductor.",IPO,,,,,,,,,,,,,Public,660,https://www.crunchbase.com/ipo/sk-hynix-ipo--dcc6cd17,"5,985","5,745",,,,,,,,,,,"Hardware, Manufacturing, Science and Engineering",10001+
Watcha,https://www.crunchbase.com/organization/frograms,"Big Data, Content Discovery, Personalization, Video Streaming","Seoul, Seoul-t'ukpyolsi, South Korea",Tech startup based on Seoul running WATCHA (contents recommendation service) and WATCHA PLAY (subscription VOD service).,$1M to $10M,2011.9.21,day,For Profit,"WATCHA - Launched in AUG 2012, it quickly became Korea_ favorite movie review app - Its core competency lies in personalized recommendation technology - once users rate movie, WATCHA predicts how they will like movies they haven_ yet seen - Now provides the widest and most accurate movie, TV show and book reviews  - Launched in Japan in 2015 WATCHA PLAY - Launched in JAN 2016 - Subscription VOD service for movie and TV series available on multiple devices including Web, iOS/Android mobile and tablet, Samsung/LG Smart TV, Google Chromecast, Android TV - Provides extremely accurate personalized content recommendation, powered by WATCHA - 75% of content consumed based on recommendations Comment by Apple, App Store Editor Team  _hanks to its large volume of reliable review data collected from users, WATCHA PLAY can recommend contents that perfectly satisfy my taste. Please don_ waste your time in choosing what to watch. Trust WATCHA PLAY and Enjoy tonight  ",Late Stage Venture,4,12000000,USD,12000000,2018.3.30,Series C,12000000,USD,12000000,10,1,"Kakao Ventures, Capstone Partners Co., Ltd., Neoplux, Aju IB Investment, SGI Venture Capital",Private,,,"6,077","5,833",,,,,19618874,USD,19618874,19618874,USD,19618874,"Commerce and Shopping, Content and Publishing, Data and Analytics, Media and Entertainment, Video",11-50
ILIAS Biologics,https://www.crunchbase.com/organization/ilias-biologics,"Biopharma, Biotechnology, Medical Device","Daejeon, Taejon-jikhalsi, South Korea",ILIAS Biologics is a biotechnology company that specializes in therapeutic molecules.,,2015.1.1,year,For Profit,"ILIAS Biologics is a biotechnology company that specializes in therapeutic molecules. The company features platform technology that enables experts to load large therapeutic molecules into exosomes. ILIAS Biologics is developing various therapeutic exosomes, a potential treatment for sepsis, pre-term birth, and various hard-to-treat diseases in inflammatory and metabolic areas.",Early Stage Venture,2,20600000,USD,20600000,2020.9.28,Series B,20600000,USD,20600000,10,,"HB Investment, Time Folio Asset Management, Kiwoom Investment, Daedeok Venture Partners, Meritz Securities",Private,,,"6,245","5,999",,,,,37600000,USD,37600000,37600000,USD,37600000,"Biotechnology, Health Care, Science and Engineering",101-250
Spoon Radio,https://www.crunchbase.com/organization/spoon-7474,"Apps, Audio, Broadcasting, Digital Media, Internet, Media and Entertainment, Music","Seoul, Seoul-t'ukpyolsi, South Korea",Spoon operates as a real-time personal audio broadcasting platform.,$10M to $50M,2013.1.1,year,For Profit,"Spoon operates as a real-time personal audio broadcasting platform. It is designed to share stories, ideas, favorite music, and more. Also, it allows its users to create personal broadcasts and listen to user-generated content. Spoon provides a space where everyone can connect and share their thoughts about everyday, real-life issue with just their voice. Spoon is based in Seoul, South Korea.",Early Stage Venture,4,40000000,USD,40000000,2019.12.24,Series B,40000000,USD,40000000,9,5,"500 Startups, Naver Corporation, Softbank Ventures Asia, Altos Ventures, Goodwater Capital",Private,,,"6,628","6,365",,,,,59573085,USD,59573085,59573085,USD,59573085,"Apps, Internet Services, Media and Entertainment, Music and Audio, Software, Video",101-250
TMON,https://www.crunchbase.com/organization/ticket-monster-korea,"E-Commerce, Information Technology, Mobile","Seoul, Seoul-t'ukpyolsi, South Korea",TMON (Ticket Monster) is one of leading e-commerce companies in Korea.,$100M to $500M,2010.2.1,day,For Profit,"Ticket Monster Inc. was founded in 2010 and is one of leading e-commerce companies in Korea today. In 2014, 70% of TMON_ transactions were completed on mobile devices and its customer base continued to expand into multiple age segments. The company operates in three key verticals - Goods, Local and Travel - and offers over 47,000 SKUs through partnerships with approximately 15,000 merchants. Private equity investor Anchor Equity Partners and leading global investment firm KKR have signed a definitive agreement to acquire a controlling stake of Ticket Monster Inc. from Groupon.",M&A,5,115000000,USD,115000000,2017.4.26,Private Equity,115000000,USD,115000000,9,4,"Canada Pension Plan Investment Board, Insight Partners, Greenspring Associates, Kohlberg Kravis Roberts, Pavilion Capital",Private,,,"6,719","6,453",,260000000,USD,260000000,525931601,USD,525931601,525931601,USD,525931601,"Commerce and Shopping, Information Technology, Mobile",1001-5000
Toss Lab,https://www.crunchbase.com/organization/toss-lab,"Collaboration, Communications Infrastructure, Computer, Enterprise Software, Internet, Messaging, SaaS, Software","Seoul, Seoul-t'ukpyolsi, South Korea",Toss Lab is a SaaS enterprise software company that provides enterprise messaging and collaboration tools.,$1M to $10M,2014.6.16,day,For Profit,"Toss Lab is a SaaS enterprise software company that provides enterprise messaging and collaboration tools. The company's platform JANDI, a group-oriented messaging platform with an integrated suite of collaboration tools that is tailor-made for workplaces in Asia. It also offers messaging and group chats. The platform serves companies ranging from small to mid-sized businesses to large enterprises with thousands of employees. Toss Lab was founded in 2014 and is headquartered in Seoul, South Korea with offices in Taiwan, Dubai, Malaysia, and Japan.",Early Stage Venture,6,13000000,USD,13000000,2020.9.2,Series B,13000000,USD,13000000,17,7,"Qualcomm Ventures, Softbank Ventures Asia, Cherubic Ventures, SBI Investment, SparkLabs Accelerator",Private,,,"7,053","6,781",,,,,24400000,USD,24400000,24650000,USD,24650000,"Consumer Electronics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software",11-50
MyRealTrip,https://www.crunchbase.com/organization/myrealtrip,"Collaborative Consumption, Marketplace, Tourism, Travel","Seoul, Seoul-t'ukpyolsi, South Korea",MyRealTrip leading tours&activities startup in South Korea,$1M to $10M,2012.1.1,year,For Profit,"MyRealTrip is leading tours&activities marketplace in South Korea. MyRealTrip is the best free travel platform in Korea where you can book flights, accommodations, tours & tickets, and special offers. Starting with guided tour service in 2012, it has been growing rapidly since it successfully launched air service in 2018. MyRealTrip is constantly striving to provide travelers with a personalized experience and provide them with a more valuable experience.",,8,43200000000,KRW,36016207,2020.7.28,Venture - Series Unknown,43200000000,KRW,36016207,12,3,"Partech, Primer, Altos Ventures, Tekton Ventures, Mirae Asset Venture Investment",Private,,,"7,438","7,155",,,,,62045628,USD,62045628,62045628,USD,62045628,"Commerce and Shopping, Other, Travel and Tourism",51-100
Kakao Games,https://www.crunchbase.com/organization/kakao-games,"Apps, Mobile Apps, Video Games","Seongnam, Kyonggi-do, South Korea","Kakao Games  is a KaKao gaming subsidiary, serving various genres of games including PC and mobile.",,2015.1.1,year,For Profit,"Kakao Games  is a KaKao gaming subsidiary, serving various genres of games including PC and mobile. Kakao Games is a global multi-platform game company that leads the way in the global game industry through reinforcing an in-house development capability and going into partnership with other game companies.",,2,9420000,USD,9420000,2018.4.4,Venture - Series Unknown,9420000,USD,9420000,2,2,"Tencent Holdings, Actoz Soft",Private,,,"7,447","7,164",,,,,139420000,USD,139420000,139420000,USD,139420000,"Apps, Gaming, Mobile, Software",51-100
ProtoPie,https://www.crunchbase.com/organization/studio-xid,"Android, Enterprise Software, Human Computer Interaction, iOS, Mobile, Mobile Apps, Product Design, Software, UX Design, Web Design","Seoul, Seoul-t'ukpyolsi, South Korea","ProtoPie is the easiest tool used to turn your UI/UX design ideas into highly interactive prototypes for mobile, desktop, web, and IoT.",$1M to $10M,2014.12.8,day,For Profit,"ProtoPie is the easiest tool used to turn your UI/UX design ideas into highly interactive prototypes for mobile, desktop, web, all the way to IoT. Designers can explore, validate, and test design solutions and ideas by creating very realistic, production-like prototypes without code and the help of engineers. Hence, ProtoPie helps companies to release better and validated products, allows them to go to market faster, and save costs throughout the process by revolutionizing their prototyping workflows.  ProtoPie is widely used at various companies all over the world across industries, e.g. Google, Microsoft, GoPro, Samsung, Nintendo, BMW, IDEO, Reddit, Bytedance, Huge, and Verizon.",Early Stage Venture,2,6300000,USD,6300000,2020.2.24,Series A,6300000,USD,6300000,9,2,"Korea Investment Partners, Vela Partners, HB Investment, Kolon Investment, POSCO Venture Capital",Private,,,"7,484","7,199",,,,,9800000,USD,9800000,9800000,USD,9800000,"Apps, Design, Mobile, Platforms, Science and Engineering, Software",11-50
CLO Virtual Fashion,https://www.crunchbase.com/organization/clo-virtual-fashion-inc,"3D Technology, Augmented Reality, E-Commerce, Enterprise Software, Fashion, Film Production, Retail Technology, Virtual Reality","Seoul, Seoul-t'ukpyolsi, South Korea","CLO Virtual Fashion develops true-to-life, 3D garment simulation technology for fashion and film/gaming industries. ",$1M to $10M,2009.1.23,day,For Profit,"Founded in 2009, CLO Virtual Fashion is committed to innovating the way we communicate fashion through our true-to-life 3D garment simulation technology. Our virtual garment solutions and services connect all teams involved in the digital product lifecycle, enabling more direct collaboration and reduced lead time, whilst maintaining the intricacies of garment design. We envision our garment simulation technology to become not only the tool to create virtual garments, but also the platform to provide valuable data about garments, designs, and trend by virtualizing every garment on Earth. Our products ranging from CLO (3D design software for apparel designers and brands), Marvelous Designer (3D design software for character artists in gaming and animation companies), Benefit by CLO (virtual fitting platform), CLO-SET (Communications and Archiving platform for virtual garments), to Marvelous SDK (Real time draping engine for games) create a new ecosystem for virtual garments. Through these services and our continuing research and development in 3D and garment design, we are transforming the way we produce and consume garments - both tangible (actual garments from brands) and intangible (virtual garments in games and movies), for ones we wear and what our virtual characters wear. For more information, visit www.clo3d.com, www.marvelousdesigner.com.",Early Stage Venture,2,4500000000,KRW,4459389,2014.7.3,Series A,4500000000,KRW,4459389,4,,"Mirae Asset Venture Investment, Atinum Investment, Stonebridge Capital, KDB Capital",Private,,,"7,544","7,256",,,,,6000000000,KRW,5867123,6000000000,KRW,5867123,"Clothing and Apparel, Commerce and Shopping, Design, Hardware, Media and Entertainment, Software, Video",101-250
Snow Corporation,https://www.crunchbase.com/organization/snow-corporation,"Apps, Messaging, Photo Editing, Photo Sharing","Seongnam, Kyonggi-do, South Korea","Snow develops and operates Snow App, a photo and video app with localized filters, stickers, and features.",$1M to $10M,2015.9.1,day,For Profit,"Snow is the developer and operator of the selfie pic and video app SNOW, featuring face recognition-enabled stickers and GIF-enabled chat functionality. With SNOW, users pick from over 700 stickers and 30 types of filters to liven up their photos and videos, then send the finished product to their friends or post them within the SNOW app to give their friends a peek into what they are up to now. User numbers have been growing steadily since the app first launched in Korea, with service being expanded to Japan and China in November 2015 and February 2016, respectively. In Japan, the number of users has been growing rapidly, and the app has been ranked as No.1 in both iOS App Store_ free app Photo & Video category and Google Play_ Photography category.",Early Stage Venture,2,50000000,USD,50000000,2018.1.23,Series A,50000000,USD,50000000,4,2,"SoftBank, Line Corporation, Sequoia Capital China, Softbank Ventures Asia",Private,,,"7,629","7,340",,,,,95000000,USD,95000000,95000000,USD,95000000,"Apps, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software",101-250
WeMakePrice,https://www.crunchbase.com/organization/wemakeprice,"Advertising, Advertising Platforms, E-Commerce","Seoul, Seoul-t'ukpyolsi, South Korea",Wemakeprice (__) is a Korean social commerce platform offering e-commerce and internet advertising services.,$100M to $500M,2010.5.1,day,For Profit,"Wemakeprice (__) is a Korean social commerce platform offering e-commerce and internet advertising services. IT was launched in May 2010 in Seoul, Korea.",,3,1.2E+11,KRW,100817461,2019.12.10,Venture - Series Unknown,1.2E+11,KRW,100817461,2,2,"Nexon, IMM Investment",Private,,,"7,819","7,520",,,,,4.76E+11,KRW,397091945,4.76E+11,KRW,397091945,"Advertising, Commerce and Shopping, Sales and Marketing",251-500
Musinsa,https://www.crunchbase.com/organization/musinsa,"E-Commerce, Fashion, Retail","Seoul, Seoul-t'ukpyolsi, South Korea",Musinsa is an authentic online and offline fashion magazine specializing in various brands and products.,,2001.1.1,year,For Profit,"Musinsa is an authentic online and offline fashion magazine specializing in various brands and products that aims to establish desirable fashion information, culture, and consumption in the Korean market. It also plays a role as a media that provides various contents such as fashion trends, product information, and brand showcase. It is a platform where diverse fashion-related contents, styling pictorials, and curating shops are found, enabling customers to interact and engage with them. Musinsa was founded in 2001 and is based in Seoul, South Korea.",,1,2E+11,KRW,171689298,2019.11.11,Venture - Series Unknown,2E+11,KRW,171689298,1,1,Sequoia Capital,Private,,,"7,874","7,574",,,,,2E+11,KRW,171689298,2E+11,KRW,171689298,"Clothing and Apparel, Commerce and Shopping, Design",251-500
Vuno,https://www.crunchbase.com/organization/vuno,"Artificial Intelligence, Health Care, Medical","Seoul, Seoul-t'ukpyolsi, South Korea",Artificial Intelligence for Doctors and Patients.,Less than $1M,2014.1.1,year,For Profit,"Vuno offers artificial intelligence-based medical solutions for doctors and patients that provides a platform and consulting services for medical data analysis. Vuno develops automatic algorithm against various problems that occurs in medical sites as well as it develops diagnostic and quantification assisting software. The clients of the company are Asan Medical Center and HYUNDAI. The company offers VunoMed that provides different forms of data analyzation for medical videos, ECGs, brain waves, and EMR data. Vuno is located in South Korea and the company was founded in 2014 by Yeha Lee, Kyu-Hwan Jung, and Dannis Kim.",Early Stage Venture,3,12000000,USD,12000000,2018.11.20,Series B,12000000,USD,12000000,6,,"SBI Investment, HB Investment, Smilegate Investment, FuturePlay, Bon Angels Venture Partners",Private,,,"8,216","7,906",,,,,15000000,USD,15000000,15000000,USD,15000000,"Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",101-250
S.M. Entertainment,https://www.crunchbase.com/organization/smtown,Music,"Seoul, Seoul-t'ukpyolsi, South Korea",S.M. Entertainment is engaged in the entertainment business.,$100M to $500M,1995.1.1,year,For Profit,SMTown is the umbrella name for the recording artists under South Korean entertainment company.,IPO,2,1E+11,KRW,83724746,2020.8.2,Post-IPO Equity,1E+11,KRW,83724746,2,2,"Alibaba Group, Naver Corporation",Public,41510,https://www.crunchbase.com/ipo/smtown-ipo--c1443ddb,"8,222","7,912",,,,,113724746,USD,113724746,113724746,USD,113724746,"Media and Entertainment, Music and Audio",251-500
WireBarley,https://www.crunchbase.com/organization/wirebarley,"Finance, Financial Services, FinTech","Seoul, Seoul-t'ukpyolsi, South Korea",WireBarley is a fin-tech company that provides a platform for online money transfer.,,2016.1.1,year,For Profit,WireBarley is a fin-tech company that provides a platform for online money transfer.,Early Stage Venture,1,10000000,USD,10000000,2020.9.17,Series B,10000000,USD,10000000,3,,"Magna Investment, Dt&Investment, Shinsegae I&C",Private,,,"8,311","7,997",,,,,10000000,USD,10000000,10000000,USD,10000000,Financial Services,11-50
Asian Boss,https://www.crunchbase.com/organization/asian-boss,"Digital Media, News, Publishing","Seoul, Seoul-t'ukpyolsi, South Korea",Asian Boss is a new media company that delivers the latest social news and cultural trends from all over Asia.,Less than $1M,2013.1.1,year,For Profit,"Asian Boss is a new media company that delivers the latest social news and cultural trends from all over Asia. Through its reporting format optimized for mobile devices and original street interviews, Asian Boss is developing innovative news format that delivers diverse social issues and people_ thoughts on them. Asian Boss currently has over 400,000 subscribers and followers, and is being watched by more than 6 million monthly viewers from over 190 different countries.",Early Stage Venture,3,2000000000,KRW,1700362,2019.11.21,Series A,2000000000,KRW,1700362,1,,SparkLabs Accelerator,Private,,,"8,794","8,466",,,,,2000000000,KRW,1700362,2000000000,KRW,1700362,"Content and Publishing, Media and Entertainment",11-50
